Character,Line,Tokens
Robin,no one goes to the library so you do not care of this type and you must pick up the phone and call customers,"['one', 'goes', 'library', 'care', 'type', 'must', 'pick', 'phone', 'call', 'customers']"
Ted,the more i delayed the launch of my box the more it can remain a dream and not something that i screwed up its like if i quit before it began,"['delayed', 'launch', 'box', 'remain', 'dream', 'something', 'screwed', 'quit', 'began']"
Robin,you wanna talk drop i described as the perfect guy funny intelligent passionate ambitious and apparently i just in my apartment you thought that you would have understood now,"['talk', 'drop', 'described', 'perfect', 'guy', 'funny', 'intelligent', 'passionate', 'ambitious', 'apparently', 'apartment', 'thought', 'understood']"
Ted,are you kidding at  i had to have an insolent success being married to the perfect woman maybe a kid on the way instead im just a guy sitting in his apartment which is a competition look with his phone and who loses,"['kidding', 'insolent', 'success', 'married', 'perfect', 'woman', 'maybe', 'kid', 'way', 'instead', 'guy', 'sitting', 'apartment', 'competition', 'look', 'phone', 'loses']"
Robin,you can do it,[]
Ted,hello ted mosby mosbius designs i learn about your design needs present or future,"['hello', 'ted', 'mosby', 'mosbius', 'designs', 'learn', 'design', 'needs', 'present', 'future']"
Robin,it looks good,"['looks', 'good']"
Ted,i looked confident,"['looked', 'confident']"
Robin,now known as a real customer,"['known', 'real', 'customer']"
Ted,great,['great']
Marshall,hey chowman,"['hey', 'chowman']"
Barney,hey toyman,"['hey', 'toyman']"
Marshall,whos this guy,"['whos', 'guy']"
Barney,he is not here i think we should leave,"['think', 'leave']"
Marshall,really,['really']
Barney,its happened before,['happened']
Ted,super so ill call you,"['super', 'ill', 'call']"
Marshall,look at this,['look']
Ted,i had the number of that girl look holly,"['number', 'girl', 'look', 'holly']"
Barney,owl the girls with a name ending in ly are dirtyholly kelly carly lily,"['owl', 'girls', 'name', 'ending', 'ly', 'dirtyholly', 'kelly', 'carly', 'lily']"
Marshall,yeah its true,['true']
Barney,and not to mention the girls with names ending in i instead of a y these girls are like rides you make the long tail but once inside you hold on hoping not to lose your keys,"['mention', 'girls', 'names', 'ending', 'instead', 'girls', 'rides', 'make', 'long', 'tail', 'inside', 'hold', 'hoping', 'lose', 'keys']"
Ted,you know what im going to do ill call on i will do you remember me its been a  its funny because i just saw,"['know', 'going', 'ill', 'call', 'remember', 'funny', 'saw']"
Barney,you can not you must wait three days before callingthis is the rule,"['must', 'wait', 'three', 'days', 'callingthis', 'rule']"
Ted,this rule is completely outdated they know exactly what you do i have another rule its a bit crazy but i call it you like him you call him,"['rule', 'completely', 'outdated', 'know', 'exactly', 'another', 'rule', 'bit', 'crazy', 'call', 'call']"
Barney,sorry can you repeat that i do not mean the ifuckever,"['sorry', 'repeat', 'mean', 'ifuckever']"
Ted,my rule of three days it is anything who invented it,"['rule', 'three', 'days', 'anything', 'invented']"
Barney,jesus,['jesus']
Marshall,barney do not do that not with jesus,"['barney', 'jesus']"
Barney,seriously jesus began this thing for three days he waited three days to return to life it was perfect if he had waited one day we would not have known he was dead they would have said jesus are you and jesus would probably have said you okay i died yesterday and they would say you have the air alive man  and they should explain his resurrection and the miracle and then the guy would say okay whatever you want dude,"['seriously', 'jesus', 'began', 'thing', 'three', 'days', 'waited', 'three', 'days', 'return', 'life', 'perfect', 'waited', 'one', 'day', 'known', 'dead', 'said', 'jesus', 'jesus', 'probably', 'said', 'died', 'yesterday', 'say', 'air', 'alive', 'man', 'explain', 'resurrection', 'miracle', 'guy', 'say', 'whatever', 'want', 'dude']"
Robin,the dialogues seem pompous old now,"['dialogues', 'seem', 'pompous', 'old']"
Barney,and he will not come back on a saturday everyone is busy doing chores weave cut the beard no it looked exactly the right number of days three,"['come', 'back', 'saturday', 'everyone', 'busy', 'chores', 'weave', 'cut', 'beard', 'looked', 'exactly', 'right', 'number', 'days', 'three']"
Ted,i promise ill wait three days stop talking,"['promise', 'ill', 'wait', 'three', 'days', 'stop', 'talking']"
Barney,and its sunday they are all already in the churchthey are all there no jesus died then bam he burst through the door crossed the aisle everyone is excited and by the way thats where he invented the tope there  dayswe wait three days to call a woman because it is the time that jesus wants us to wait true story,"['sunday', 'already', 'churchthey', 'jesus', 'died', 'bam', 'burst', 'door', 'crossed', 'aisle', 'everyone', 'excited', 'way', 'invented', 'tope', 'dayswe', 'wait', 'three', 'days', 'call', 'woman', 'time', 'jesus', 'wants', 'us', 'wait', 'true', 'story']"
Ted,okay i promise i will call not before three days,"['promise', 'call', 'three', 'days']"
Robin,what was that,[]
Ted,what,[]
Robin,you made a noise,"['made', 'noise']"
Ted,this is my laptop a text message,"['laptop', 'text', 'message']"
Robin,not that you made the sound of the naked girl,"['made', 'sound', 'naked', 'girl']"
Robin,when you see a naked girl you make noise,"['see', 'naked', 'girl', 'make', 'noise']"
Ted,thats not true,['true']
Robin,really,['really']
Ted,sorry lily,"['sorry', 'lily']"
Ted,its a breast,['breast']
Robin,this is holly who writes to you youre not promised to wait three days,"['holly', 'writes', 'promised', 'wait', 'three', 'days']"
Ted,to call texting its different,"['call', 'texting', 'different']"
Robin,okay just try to proclaim your sound of the naked girl,"['try', 'proclaim', 'sound', 'naked', 'girl']"
Ted,i make no noise,"['make', 'noise']"
Ted,holly just told me what she wears its pretty exciting,"['holly', 'told', 'wears', 'pretty', 'exciting']"
Robin,whatever it is i guarantee you she do not wear it she lies to please you,"['whatever', 'guarantee', 'wear', 'lies', 'please']"
Ted,how do you know,['know']
Robin,because no woman in history has never asked to read architectural magazines in my old uniform cheerleader ,"['woman', 'history', 'never', 'asked', 'read', 'architectural', 'magazines', 'old', 'uniform', 'cheerleader']"
Ted,okay maybe shes lying on the architectural magazinesno this is bad,"['maybe', 'lying', 'architectural', 'magazinesno', 'bad']"
Robin,what,[]
Ted,she just sent me a message clearly intended for someone else,"['sent', 'message', 'clearly', 'intended', 'someone', 'else']"
Robin,baby i got to eat at generro i come home soon yes it sounds bad but thinking a little it is perhaps for his brother or father who is ill,"['baby', 'eat', 'generro', 'come', 'home', 'soon', 'sounds', 'bad', 'thinking', 'little', 'perhaps', 'brother', 'father', 'ill']"
Ted,come down,['come']
Robin,and then i want to you to take me on the couchmaybe not a sick father father or a really sick right sorry,"['want', 'take', 'couchmaybe', 'sick', 'father', 'father', 'really', 'sick', 'right', 'sorry']"
Robin,hi guys what is it,"['hi', 'guys']"
Marshall,a meal that i generro back to lily,"['meal', 'generro', 'back', 'lily']"
Robin,bizarre holly sent a message to ted talking about a meal generro a second band of bastards,"['bizarre', 'holly', 'sent', 'message', 'ted', 'talking', 'meal', 'generro', 'second', 'band', 'bastards']"
Barney,what,[]
Robin,you are holly so ted did not send messages to holly he sent to you,"['holly', 'ted', 'send', 'messages', 'holly', 'sent']"
Barney,we knew he would try to call three days before so i took his cell phone and changed his number from mine,"['knew', 'try', 'call', 'three', 'days', 'took', 'cell', 'phone', 'changed', 'number', 'mine']"
Marshall,we wanted to call the chopper too early but then he sent text messages,"['wanted', 'call', 'chopper', 'early', 'sent', 'text', 'messages']"
Barney,piti texting,"['piti', 'texting']"
Marshall,poor little ted it should he should say it estnous,"['poor', 'little', 'ted', 'say', 'estnous']"
Barney,yeah or it pretends to holly and we are in the bath,"['pretends', 'holly', 'bath']"
Marshall,its better it was funny he should say that it is us,"['better', 'funny', 'say', 'us']"
Barney,it should or it is said that red is our favorite color and found the look cowboy sexy,"['said', 'red', 'favorite', 'color', 'found', 'look', 'cowboy', 'sexy']"
Marshall,its better,['better']
Ted,i wear them right now and they are very sexy,"['wear', 'right', 'sexy']"
Barney,he put the boots,"['put', 'boots']"
Marshall,he bluntly put it was great but its time to tell him that he wears,"['bluntly', 'put', 'great', 'time', 'tell', 'wears']"
Barney,or we remove our shirts,"['remove', 'shirts']"
Barney,maybe that door below a black bra with lace,"['maybe', 'door', 'black', 'bra', 'lace']"
Marshall,i believe that wearing anything underneath,"['believe', 'wearing', 'anything', 'underneath']"
Barney,it is hot,['hot']
Marshall,there he wears only cowboy boots here we go,"['wears', 'cowboy', 'boots']"
Barney,too tell him we slowly drag our what do we do,"['tell', 'slowly', 'drag']"
Marshall,i think well have sx with ted,"['think', 'sx', 'ted']"
Robin,you did this all day this is wicked,"['day', 'wicked']"
Marshall,no actually it was for his good it protects it from itself he really likes this girl he had that look,"['actually', 'good', 'protects', 'really', 'likes', 'girl', 'look']"
Barney,the crazy eyes im going too fast and i will fck up everything,"['crazy', 'eyes', 'going', 'fast', 'fck', 'everything']"
Marshall,the same he had with you the first time,"['first', 'time']"
Barney,we all know what it gave,"['know', 'gave']"
Ted,im in love with you,['love']
Robin,i was a single case this is not holly robin scherbatsky what is wrong with her hair news flash detangling it exists for not having a helmet im so mean,"['single', 'case', 'holly', 'robin', 'scherbatsky', 'wrong', 'hair', 'news', 'flash', 'detangling', 'exists', 'helmet', 'mean']"
Marshall,its been that ted did not like someone he stored much we thought him to say i love you when he contacted her,"['ted', 'someone', 'stored', 'much', 'thought', 'say', 'love', 'contacted']"
Barney,and its coming it shows all the telltale signs,"['coming', 'shows', 'telltale', 'signs']"
Marshall,first he jokes with the marriage,"['first', 'jokes', 'marriage']"
Barney,you like architecture we should get married hahamdr just kidding so what ,"['architecture', 'married', 'hahamdr', 'kidding']"
Marshall,deuzio its far too early suggestions crazy travel,"['deuzio', 'far', 'early', 'suggestions', 'crazy', 'travel']"
Barney,i like beer we should go to germany mdr jpmdr ,"['beer', 'germany', 'mdr', 'jpmdr']"
Marshall,third it says too early personal things,"['third', 'says', 'early', 'personal', 'things']"
Barney,my parents divorced two years there it was really hard mdr ,"['parents', 'divorced', 'two', 'years', 'really', 'hard', 'mdr']"
Robin,and he really knows not what means mdr,"['really', 'knows', 'means', 'mdr']"
Marshall,yeah but thats the problem ted did not say i love you as easily as we thought,"['problem', 'ted', 'say', 'love', 'easily', 'thought']"
Barney,and then we met stan,"['met', 'stan']"
Marshall,so he explained everything and once finished there was something fascinating,"['explained', 'everything', 'finished', 'something', 'fascinating']"
Robin,super stan who is it,"['super', 'stan']"
Barney,a guard who works nights,"['guard', 'works', 'nights']"
Marshall,he eats here every day,"['eats', 'every', 'day']"
Barney,and he had not finished,['finished']
Marshall,far from it,['far']
Marshall,its really nice,"['really', 'nice']"
Barney,no matter its ok,"['matter', 'ok']"
Marshall,you want me to send it to ted i knew it,"['want', 'send', 'ted', 'knew']"
Marshall,i do not know what comes to the bread here but it touches me here and here,"['know', 'comes', 'bread', 'touches']"
Barney,well if ted does not say i will i love you,"['ted', 'say', 'love']"
Marshall,it is perhaps not in love with us,"['perhaps', 'love', 'us']"
Barney,how is this possible its all there waiting,"['possible', 'waiting']"
Marshall,i do not understand men,"['understand', 'men']"
Marshall,do you come back,"['come', 'back']"
Robin,that guy you fell in love i hope his girlfriend is not jealous he spoke of a friend or,"['guy', 'fell', 'love', 'hope', 'girlfriend', 'jealous', 'spoke', 'friend']"
Barney,all was well until he sends a text message for lily and ruins everything,"['sends', 'text', 'message', 'lily', 'ruins', 'everything']"
Robin,its okay its over now i have to leave but thats what happens you call it now tell him what you did and apologizegot it,"['leave', 'happens', 'call', 'tell', 'apologizegot']"
Barney,yes  or,[]
Ted,holly explained everything to me it was just a misunderstanding all is well now,"['holly', 'explained', 'everything', 'misunderstanding']"
Robin,really how she explained the scope of texting,"['really', 'explained', 'scope', 'texting']"
Ted,apparently his idiot friend of marsha accidentally used his phone for a message to her husband billy,"['apparently', 'idiot', 'friend', 'marsha', 'accidentally', 'used', 'phone', 'message', 'husband', 'billy']"
Robin,marsha and billy they are not trampled,"['marsha', 'billy', 'trampled']"
Ted,and now i feel better than ever it sounds crazy but i think that i am attached to this girl,"['feel', 'better', 'ever', 'sounds', 'crazy', 'think', 'attached', 'girl']"
Robin,you cling to barney and marshall,"['cling', 'barney', 'marshall']"
Robin,they did not believe that youd wait three days so barney has changed his number by that of his work laptopholly is barney and marshall,"['believe', 'wait', 'three', 'days', 'barney', 'changed', 'number', 'work', 'laptopholly', 'barney', 'marshall']"
Ted,wait it was them all along so holly was not in his bathor sitting by the window gazing at the stars thinking of me or on his couch cheerleader reading architecture magazines,"['wait', 'along', 'holly', 'bathor', 'sitting', 'window', 'gazing', 'stars', 'thinking', 'couch', 'cheerleader', 'reading', 'architecture', 'magazines']"
Robin,i think they have done that they were just at the bar,"['think', 'done', 'bar']"
Ted,its true,['true']
Robin,yes it was them,[]
Ted,incredible,['incredible']
Robin,i know you should tell them that you are not fooled,"['know', 'tell', 'fooled']"
Ted,or i send them a text message that will really confuse them,"['send', 'text', 'message', 'really', 'confuse']"
Robin,i see why not i have told anyone yet but i only have three months to live,"['see', 'told', 'anyone', 'yet', 'three', 'months', 'live']"
Ted,not bad and i killed a man with a shovel and those feelings resurface,"['bad', 'killed', 'man', 'shovel', 'feelings', 'resurface']"
Robin,i love this thing someone said about three months to live,"['love', 'thing', 'someone', 'said', 'three', 'months', 'live']"
Ted,ive never told anyone but i slept with the mother of my best friend ,"['never', 'told', 'anyone', 'slept', 'mother', 'best', 'friend']"
Robin,its good but i think it comes down to trick the three months to live,"['good', 'think', 'comes', 'trick', 'three', 'months', 'live']"
Ted,wait i think i have,"['wait', 'think']"
Marshall,he replied i probably should not tell you finally we barely knew but never mind i say it anyway ,"['replied', 'probably', 'tell', 'finally', 'barely', 'knew', 'never', 'mind', 'say', 'anyway']"
Barney,thats it man this is the i love you,"['man', 'love']"
Marshall,i would like stan to be there,['stan']
Barney,stan what,['stan']
Marshall,i sometimes have dreams about my gay best friend,"['sometimes', 'dreams', 'gay', 'best', 'friend']"
Barney,i sometimes have dreams about my gay best friend ,"['sometimes', 'dreams', 'gay', 'best', 'friend']"
Marshall,ted why send text messages to a girl he barely knows where he says he dreams about me gay,"['ted', 'send', 'text', 'messages', 'girl', 'barely', 'knows', 'says', 'dreams', 'gay']"
Barney,easy you he speaks clearly to me,"['easy', 'speaks', 'clearly']"
Marshall,dude im his best friend,"['dude', 'best', 'friend']"
Barney,okay one it has never been proven two if anyone had any dreams about gays one of us would be on me finally look at me now look at you an octogenarian still in her closet would not be in this state,"['one', 'never', 'proven', 'two', 'anyone', 'dreams', 'gays', 'one', 'us', 'finally', 'look', 'look', 'octogenarian', 'still', 'closet', 'state']"
Marshall,thats the trick i hug you no who would not want to cuddle in this case on sunday morning wrapped in the quilt while it is raining and there are muffins in the oven im cuddly bitch you must do,"['trick', 'hug', 'want', 'cuddle', 'case', 'sunday', 'morning', 'wrapped', 'quilt', 'raining', 'muffins', 'oven', 'cuddly', 'bitch', 'must']"
Barney,i train every day one thing we know about ted is that he likes a nice body this body would vibrate,"['train', 'every', 'day', 'one', 'thing', 'know', 'ted', 'likes', 'nice', 'body', 'body', 'vibrate']"
Marshall,ted and i we lived i know what he likes there are things i can do it he poustoufleraient why do they sleep with ted,"['ted', 'lived', 'know', 'likes', 'things', 'poustoufleraient', 'sleep', 'ted']"
Barney,i know its weird,"['know', 'weird']"
Barney,crazy no ted had dreams about me gay,"['crazy', 'ted', 'dreams', 'gay']"
Marshall,and by me he means marshall eriksen star of teds gay dreams,"['means', 'marshall', 'eriksen', 'star', 'teds', 'gay', 'dreams']"
Robin,so what so ted has gay dreams about one of you its not as if he had three months to live it would shocking no,"['ted', 'gay', 'dreams', 'one', 'three', 'months', 'live', 'shocking']"
Marshall,look at this guy how is my best friend for  years,"['look', 'guy', 'best', 'friend', 'years']"
Ted,its a bit weird but i had a strange dream yesterday its a bit embarrassing,"['bit', 'weird', 'strange', 'dream', 'yesterday', 'bit', 'embarrassing']"
Barney,you can tell us this is a secure area,"['tell', 'us', 'secure', 'area']"
Marshall,your feelings are quite natural,"['feelings', 'quite', 'natural']"
Ted,thats what happened,['happened']
Ted,then at the end of the meal frank gehry addition to the slides and im pei said friend tonight is your name i payebuckminster fuller was almost choking and i woke up,"['end', 'meal', 'frank', 'gehry', 'addition', 'slides', 'pei', 'said', 'friend', 'tonight', 'name', 'payebuckminster', 'fuller', 'almost', 'choking', 'woke']"
Marshall,thats it,[]
Barney,no more dreams nothing disturbing or erotic,"['dreams', 'nothing', 'disturbing', 'erotic']"
Marshall,ok what do you say that you know that someday in the future machines will rebel,"['ok', 'say', 'know', 'someday', 'future', 'machines', 'rebel']"
Ted,of course,['course']
Marshall,so the machines killed everyone and there are only you me and barney who among us would you you,"['machines', 'killed', 'everyone', 'barney', 'among', 'us']"
Ted,and why should i make me one of you,"['make', 'one']"
Barney,machines force you they want to watch thats how they erupt,"['machines', 'force', 'want', 'watch', 'erupt']"
Ted,its hard i imagine it would be holly robin told me everything thats why i invented everything guys here is holly and i have not waited for your precious three days to call i knew where she was working so i found let me ask you it was too early,"['hard', 'imagine', 'holly', 'robin', 'told', 'everything', 'invented', 'everything', 'guys', 'holly', 'waited', 'precious', 'three', 'days', 'call', 'knew', 'working', 'found', 'let', 'ask', 'early']"
Ted,holly and i are going to dinner,"['holly', 'going', 'dinner']"
Marshall,sorry it was just trying to help you,"['sorry', 'trying', 'help']"
Barney,and also it was really funny,"['also', 'really', 'funny']"
Ted,i do not need help ok i can look after myself and yes maybe some girls do not like to be called away or they may say too but guess what these are not good for me maybe the good is the one that loves me to do that because this is who i am and i will not change because of a stupid rule of the three days holly spells his name with an i,"['need', 'help', 'ok', 'look', 'maybe', 'girls', 'called', 'away', 'may', 'say', 'guess', 'good', 'maybe', 'good', 'one', 'loves', 'change', 'stupid', 'rule', 'three', 'days', 'holly', 'spells', 'name']"
Barney,you work right,"['work', 'right']"
Marshall,great we can have fun,"['great', 'fun']"
Robin,yes,[]
Barney,what,[]
Marshall,wait you can not just sit there and have your date with us,"['wait', 'sit', 'date', 'us']"
Barney,yeah it will be fun look im kidding it explodes do you like magic,"['fun', 'look', 'kidding', 'explodes', 'magic']"
Robin,you know their names,"['know', 'names']"
Robin,no its marshall married to lily,"['marshall', 'married', 'lily']"
Ted,a hat this is brilliant i love it nothing better to say delicious as inside a cowboy hat i tell you im your man i think being born to draw this building i i see,"['hat', 'brilliant', 'love', 'nothing', 'better', 'say', 'delicious', 'inside', 'cowboy', 'hat', 'tell', 'man', 'think', 'born', 'draw', 'building', 'see']"
Ted,i see it i see it  what is it good,"['see', 'see', 'good']"
Robin,allnighter,['allnighter']
Ted,i told them i had a vision for this thing they want a drawing in a week and i have nothing,"['told', 'vision', 'thing', 'want', 'drawing', 'week', 'nothing']"
Robin,its cute,['cute']
Ted,cute i can draw concert halls and bridges bridges so beautiful they could be in museums and i could draw these museums but i draw what instead where is my career a twostory stetson with a terrace on the edge its a cosmic joke the universe conspires against me,"['cute', 'draw', 'concert', 'halls', 'bridges', 'bridges', 'beautiful', 'could', 'museums', 'could', 'draw', 'museums', 'draw', 'instead', 'career', 'twostory', 'stetson', 'terrace', 'edge', 'cosmic', 'joke', 'universe', 'conspires']"
Robin,did you just need to get out take a walk pay yourself a bagel,"['need', 'take', 'walk', 'pay', 'bagel']"
Ted,yeah thatll solve everything i have not slept for  hours but a bagel is the answer cinnamon and raisin bagel with some cream it looks good ill buy one,"['solve', 'everything', 'slept', 'hours', 'bagel', 'answer', 'cinnamon', 'raisin', 'bagel', 'cream', 'looks', 'good', 'ill', 'buy', 'one']"
Robin,take an umbrella its going to rain according galoshes our clownweather,"['take', 'umbrella', 'going', 'rain', 'according', 'galoshes', 'clownweather']"
Ted,your show has a clown to present the weather its a bit nase right,"['show', 'clown', 'present', 'weather', 'bit', 'nase', 'right']"
Robin,and this restaurant that you draw what form it hoss,"['restaurant', 'draw', 'form', 'hoss']"
Ted,okay you want to fire me from here i go out i look forward to seeing what the universe has prepared me,"['want', 'fire', 'look', 'forward', 'seeing', 'universe', 'prepared']"
Robin,eunice is itself these handbags they are handembroidered silks at best and each takes months to do i can not say how long  weather fools,"['eunice', 'handbags', 'handembroidered', 'silks', 'best', 'takes', 'months', 'say', 'long', 'weather', 'fools']"
Robin,on the other hand i bought a big bag today,"['hand', 'bought', 'big', 'bag', 'today']"
Ted,wait why did you vomit,"['wait', 'vomit']"
Robin,you want to know,"['want', 'know']"
Ted,come on tell me,"['come', 'tell']"
Robin,im pregnant,['pregnant']
Ted,i will raise this child with you youre not alone you can get married if you want but i want to see other girls it would be one of those marriages,"['raise', 'child', 'alone', 'married', 'want', 'want', 'see', 'girls', 'one', 'marriages']"
Robin,stop im not pregnant this is an intoxication i ate something at the restaurant three hours later i vomited like a fountain,"['stop', 'pregnant', 'intoxication', 'ate', 'something', 'restaurant', 'three', 'hours', 'later', 'vomited', 'fountain']"
Ted,where,[]
Robin,this is a disgusting issue,"['disgusting', 'issue']"
Ted,where was your meal,['meal']
Robin,i want to tell you,"['want', 'tell']"
Ted,what,[]
Robin,someone has already put on youtube,"['someone', 'already', 'put', 'youtube']"
Barney,yeah someone so why did you vomit youre pregnant,"['someone', 'vomit', 'pregnant']"
Robin,yeah im pregnant,['pregnant']
Ted,why do you not tell me where you got your intoxication,"['tell', 'intoxication']"
Robin,you adore this place if i tell you it will ruin it,"['adore', 'place', 'tell', 'ruin']"
Ted,it makes sense do not say anything,"['makes', 'sense', 'say', 'anything']"
Ted,this indian restaurant where the cat jumps on the tables,"['indian', 'restaurant', 'cat', 'jumps', 'tables']"
Robin,i say nothing,"['say', 'nothing']"
Ted,the spanish restaurant with the cradle,"['spanish', 'restaurant', 'cradle']"
Ted,is it here tell me,['tell']
Robin,you really want to know this is schlegels bagels,"['really', 'want', 'know', 'schlegels', 'bagels']"
Ted,why do you have told me schlegels thank you ill have to find another new york place that serves bagels,"['told', 'schlegels', 'thank', 'ill', 'find', 'another', 'new', 'york', 'place', 'serves', 'bagels']"
Barney,the bros life magazine page  look,"['bros', 'life', 'magazine', 'page', 'look']"
Ted,what does your paintball on your personality ,"['paintball', 'personality']"
Barney,lowest,['lowest']
Ted,the last  kilos how the push to lose ,"['last', 'kilos', 'push', 'lose']"
Barney,highest,['highest']
Ted,petra petrova,"['petra', 'petrova']"
Barney,the girl of the year in may according to bros life magazine a delicate flower in stiletto heel leopard thong and riding a x,"['girl', 'year', 'may', 'according', 'bros', 'life', 'magazine', 'delicate', 'flower', 'stiletto', 'heel', 'leopard', 'thong', 'riding', 'x']"
Ted,these magazines are broken it is certainly retouched,"['magazines', 'broken', 'certainly', 'retouched']"
Barney,i have an appointment with,['appointment']
Ted,you are my hero really how did you do,"['hero', 'really']"
Barney,its not in the story i waited a long time to say thatthis girl is the daughter,"['story', 'waited', 'long', 'time', 'say', 'thatthis', 'girl', 'daughter']"
Ted,of course it is marry them it,"['course', 'marry']"
Barney,marrying i have something even more special in mind petra if all goes well will be my wait my th can not wait too exciting,"['marrying', 'something', 'even', 'special', 'mind', 'petra', 'goes', 'wait', 'th', 'wait', 'exciting']"
Ted,the th with that get laid,"['th', 'laid']"
Barney,who ill lie i want the highest tope there,"['ill', 'lie', 'want', 'highest', 'tope']"
Ted,even if i was wearing protective clothing  is too much,"['even', 'wearing', 'protective', 'clothing', 'much']"
Barney,as if there could be too much of something wonderfulbabe ruth gently my grandfather do not hit too many home runs steve guttenberg you should not do that three police academy america has laughed enough ,"['could', 'much', 'something', 'wonderfulbabe', 'ruth', 'gently', 'grandfather', 'hit', 'many', 'home', 'runs', 'steve', 'guttenberg', 'three', 'police', 'academy', 'america', 'laughed', 'enough']"
Ted,who are these girls it was rhetorical show me the list,"['girls', 'rhetorical', 'show', 'list']"
Barney, satisfied customers finally the big night is thursday i give a reception before in mcclarens prepares a toast tuxedo optional but desired gifts are i would say useless but follow your heart,"['satisfied', 'customers', 'finally', 'big', 'night', 'thursday', 'give', 'reception', 'mcclarens', 'prepares', 'toast', 'tuxedo', 'optional', 'desired', 'gifts', 'say', 'useless', 'follow', 'heart']"
Ted, is too much,['much']
Barney,its not too much,['much']
Ted,thats too,[]
Marshall,its not too much,['much']
Barney,thank you,['thank']
Marshall,do not misunderstand youre disgusting and the cops should put a shoe on your part but this number should be higher after barney told me about that i reviewed the figures and i have some graphics barney dredge about  girls a week,"['misunderstand', 'disgusting', 'cops', 'put', 'shoe', 'part', 'number', 'higher', 'barney', 'told', 'reviewed', 'figures', 'graphics', 'barney', 'dredge', 'girls', 'week']"
Barney,its more than  b does nothing more precise estimate,"['b', 'nothing', 'precise', 'estimate']"
Marshall,let  so  girls a week thats  girls a yearin its  years of sexual activity it would mean that he has dredged  girls if he has slept with  its a success rate slightly higher than one per cent this is an average of  hits eight times worse than average in career launcher in one hand the launcher jim abbott,"['let', 'girls', 'week', 'girls', 'yearin', 'years', 'sexual', 'activity', 'mean', 'dredged', 'girls', 'slept', 'success', 'rate', 'slightly', 'higher', 'one', 'per', 'cent', 'average', 'hits', 'eight', 'times', 'worse', 'average', 'career', 'launcher', 'one', 'hand', 'launcher', 'jim', 'abbott']"
Barney,jealous jealous hero strangely silent during this conversation on his number of sexual partners hero the grand total it is the only number that matters,"['jealous', 'jealous', 'hero', 'strangely', 'silent', 'conversation', 'number', 'sexual', 'partners', 'hero', 'grand', 'total', 'number', 'matters']"
Ted,who said so,['said']
Barney,matthew panning the stud of port richmond college,"['matthew', 'panning', 'stud', 'port', 'richmond', 'college']"
Barney,you neither,['neither']
Barney,you know what matthew one day i would have done with ,"['know', 'matthew', 'one', 'day', 'done']"
Barney,and ill call,"['ill', 'call']"
Ted,i think hell say it again very slowly,"['think', 'hell', 'say', 'slowly']"
Barney,i will the call,['call']
Robin,you have noted gaby allan dual  and ,"['noted', 'gaby', 'allan', 'dual']"
Barney,what let me see sixty once oh my god waiti counted the same girl twice that means im only at ,"['let', 'see', 'sixty', 'god', 'waiti', 'counted', 'girl', 'twice', 'means']"
Marshall,it just means youre less than  was thought disgusting,"['means', 'less', 'thought', 'disgusting']"
Barney,i win a czech supermodel in two hours i can not waste it in the th petra must be the th,"['win', 'czech', 'supermodel', 'two', 'hours', 'waste', 'th', 'petra', 'must', 'th']"
Ted,are you gonna do you will find not a partner in the next  hours,"['find', 'partner', 'next', 'hours']"
Barney,astronaut millionaire you come home to see shells,"['astronaut', 'millionaire', 'come', 'home', 'see', 'shells']"
Barney,i come from the grave of my wife i buried her there was just one year i miss her i need comfort,"['come', 'grave', 'wife', 'buried', 'one', 'year', 'miss', 'need', 'comfort']"
Barney,youre not as sick of all these games i just want to settle down and have an army of toddlers at once,"['sick', 'games', 'want', 'settle', 'army', 'toddlers']"
Barney,marshall knowing how important it is for me you think that lily i would do the job,"['marshall', 'knowing', 'important', 'think', 'lily', 'job']"
Marshall,ill kill you,"['ill', 'kill']"
Barney,okay,[]
Ted,where did barney its been over an hour,"['barney', 'hour']"
Robin,you know looking at the names on this list i do not see a lot of ethnic diversity it should really be questioned,"['know', 'looking', 'names', 'list', 'see', 'lot', 'ethnic', 'diversity', 'really', 'questioned']"
Barney,its done  made of more than one have you finished your drink  thats better,"['done', 'made', 'one', 'finished', 'drink', 'better']"
Ted,it has happened to you what,['happened']
Barney,there a girl in the gym pauline she runs after me for a while,"['girl', 'gym', 'pauline', 'runs']"
Ted,why wait till then,"['wait', 'till']"
Barney,its not really my type,"['really', 'type']"
Barney,good pauline youre going to have all of fonte leveuse sarasota classic this fall i thought to you and meand if youre still interested,"['good', 'pauline', 'going', 'fonte', 'leveuse', 'sarasota', 'classic', 'fall', 'thought', 'meand', 'still', 'interested']"
Barney,good grief mom,"['good', 'grief', 'mom']"
Barney,every inch tasted like roast beef and creatine but i did i did and i still have  minutes before meeting with petrarobin you have the foundation i want to cover bruises and razor burn,"['every', 'inch', 'tasted', 'roast', 'beef', 'creatine', 'still', 'minutes', 'meeting', 'petrarobin', 'foundation', 'want', 'cover', 'bruises', 'razor', 'burn']"
Robin,i hate to tell you this but,"['hate', 'tell']"
Barney,what,[]
Robin,you did the right gaby allan counted  times butyoure also spent  to  have you used the same number twice,"['right', 'gaby', 'allan', 'counted', 'times', 'butyoure', 'also', 'spent', 'used', 'number', 'twice']"
Barney,so that means pauline is not the th it is the th,"['means', 'pauline', 'th', 'th']"
